instruction,input,output,prompt,formatted_input
What is the chemical formula for water?,,The chemical formula for water is H₂O.,What is the chemical formula for water?,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

What is the chemical formula for water?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Create a short story about a person exploring the jungle.,,"John was an adventurous spirit - so when he heard of a new richly biodiverse jungle on a distant island, he knew he simply had to explore it. He booked his ticket and set off on a breathtaking journey. He adventured through the deep green tangle of trees, discovering more exotic wildlife than he had ever seen before. Finally, as his journey was coming to an end, he had one more surprise: a majestic waterfall, cascading over a high cliff, providing a stunning view to admire before his return.",Create a short story about a person exploring the jungle.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Create a short story about a person exploring the jungle.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Input the name of two people. Output a sentence introducing them to each other.,"John, Emma","John, meet Emma. Emma, this is John.","Input the name of two people. Output a sentence introducing them to each other.

John, Emma","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Input the name of two people. Output a sentence introducing them to each other.

John, Emma<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Find a specific example of the given keyword.,Keyword: Humanitarian efforts,"The World Food Programme is an example of a humanitarian effort, as it provides food aid to individuals in conflict-affected and hunger-stricken areas.","Find a specific example of the given keyword.

Keyword: Humanitarian efforts","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Find a specific example of the given keyword.

Keyword: Humanitarian efforts<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Name 3 musical instruments.,,"Piano, guitar, and drums.",Name 3 musical instruments.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Name 3 musical instruments.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Create a pizza topping combination.,,"A delicious pizza topping combination could include mushrooms, bell peppers, onions, and sausage.",Create a pizza topping combination.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Create a pizza topping combination.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Describe the connection between environmental degradation and public health.,none,"Environmental degradation can have a profound impact on public health. Contaminated air, water, and soil can increase exposure to pollutants, pesticides, and other toxic substances, resulting in a wide range of health outcomes including respiratory and cardiovascular diseases, cancer, and other chronic and infectious diseases. In addition, degrading ecosystems lead to a loss of biodiversity that can disrupt food production and nutrition, leading to malnutrition and other health problems.","Describe the connection between environmental degradation and public health.

none","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe the connection between environmental degradation and public health.

none<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Describe a database table for customer membership.,,"A database table for customer membership would typically include fields for customer name, contact information, membership level, membership expiration date, membership renewal date, and account balance. Additional fields such as reward points or customer preferences could also be included.",Describe a database table for customer membership.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe a database table for customer membership.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Name 3 types of transportation in India.,,"The three types of transportation in India are rail, road, and air.",Name 3 types of transportation in India.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Name 3 types of transportation in India.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
List three different ways to prevent the spread of coronavirus.,,"Three ways to prevent the spread of coronavirus are to practice social distancing, wear a face mask, and routinely wash your hands with soap and water.",List three different ways to prevent the spread of coronavirus.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

List three different ways to prevent the spread of coronavirus.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Which company owns the website Hulu?,,"Hulu is owned by Disney, WarnerMedia, Comcast, and AT&T.",Which company owns the website Hulu?,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Which company owns the website Hulu?<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Describe the impact of ocean pollution.,,"Ocean pollution has devastating impacts on marine life, the economy, and humans. Marine life can be harmed through ingestion of plastic debris or by being tangled in lost nets and other discarded materials. This can occur at all levels of the marine food chain, drastically reducing the numbers of some species or in extreme cases, leading to their extinction. Pollution can also damage coral reefs, which provide homes for a wide variety of marine species and have significant economic benefits. Pollution can also adversely affect humans by spreading toxins into the air and water on which we depend for our health and livelihood.",Describe the impact of ocean pollution.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Describe the impact of ocean pollution.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Find 3 acronyms related to artificial intelligence,,"AI, ML, NLP",Find 3 acronyms related to artificial intelligence,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Find 3 acronyms related to artificial intelligence<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Find an example of a metaphor in this sentence: My life is like a river flowing inexorably.,,"The phrase ""my life is like a river flowing inexorably"" is an example of a metaphor. It is comparing life to a river, implying continuous forward movement towards an unknown destination.",Find an example of a metaphor in this sentence: My life is like a river flowing inexorably.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Find an example of a metaphor in this sentence: My life is like a river flowing inexorably.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Find all of the adjectives in the following sentence and replace them with synonyms.,The large bird flew swiftly in the sky.,The immense bird glided quickly in the sky.,"Find all of the adjectives in the following sentence and replace them with synonyms.

The large bird flew swiftly in the sky.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Find all of the adjectives in the following sentence and replace them with synonyms.

The large bird flew swiftly in the sky.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Write a story about someone uncovering their family's secret,,"Hadrian had never given much thought to his family’s past and their mysterious silence about it. But when his parents unexpectedly pass away, he begins to unearth the secrets that have been kept hidden for years. He discovers old documents and photographs that hint at a traumatic and dark history, one that his family had desperately tried to keep hidden. As he investigates further and connects the pieces of his family’s past, he comes to realize the true horror of a legacy that had been kept buried for so long.",Write a story about someone uncovering their family's secret,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Write a story about someone uncovering their family's secret<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Give me a proverb that expresses the idea of being cautious.,,A stitch in time saves nine.,Give me a proverb that expresses the idea of being cautious.,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Give me a proverb that expresses the idea of being cautious.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Given a description of a scene, create a poem from it.","The soft morning breeze stirs the lush foliage of the forest, the sky is stained a deep red from the rising sun.","O'er the top of the trees
The sun starts to greet,
Painting the sky a deep ruby hue
A calming breeze that stirs up leaves
A clear sight, one could not lose. 

The shadows cast, dark and still
As the beasts below await a thrill
The new beginnings of the day
Lays hope in an endless fray.","Given a description of a scene, create a poem from it.

The soft morning breeze stirs the lush foliage of the forest, the sky is stained a deep red from the rising sun.","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Given a description of a scene, create a poem from it.

The soft morning breeze stirs the lush foliage of the forest, the sky is stained a deep red from the rising sun.<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Given a movie title, generate a movie synopsis of 50 words.",The Color Purple,"The Color Purple is the story of Celie, an African-American woman living in the early 20th century, struggling to find her own identity amid oppression and abuse. Celie endures treatment by her family and her community, yet she perseveres and eventually discovers her own voice and courage. Through the friendship of two other women, she also learns to recognize and appreciate herself as an individual and as a valuable member of her community. The story follows Celie on her journey towards love, empowerment, and self-discovery. In the end, she proves her strength and courage by overcoming hardships, embracing her identity, and overcoming obstacles to secure her own happy ending.","Given a movie title, generate a movie synopsis of 50 words.

The Color Purple","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Given a movie title, generate a movie synopsis of 50 words.

The Color Purple<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Write a letter to your boss asking for a raise,,"Dear [Name],

I am writing to express my deep appreciation for the opportunity to work for your company for the past [time]. As you know, I have always been dedicated and hardworking, consistently contributing to the smooth operation of the organization. 

My work has been consistently in alignment with the organizational goals, and I am proud to say that my effort and dedication has earned me several accolades and recognition over the past [time]. I strongly believe that I have played an integral role in the rise of the business.

Given the above, I would like to humbly request a raise in my current salary. A larger salary will act as an incentive for me to continue to strive for excellence and deliver the best results. I hope you will kindly consider my request and grant me the opportunity to continue to contribute to the success of the organization.

Thank you for your time and kind attention.

Sincerely,
[Your Name]",Write a letter to your boss asking for a raise,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Write a letter to your boss asking for a raise<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
"Given an angle in radians, convert it to degrees.",1.05 radians,60 degrees,"Given an angle in radians, convert it to degrees.

1.05 radians","<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Given an angle in radians, convert it to degrees.

1.05 radians<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
Find the opposite meaning of “arbitrary”,,Non-arbitrary.,Find the opposite meaning of “arbitrary”,"<|begin_of_text|><|start_header_id|>user<|end_header_id|>

Find the opposite meaning of “arbitrary”<|eot_id|><|start_header_id|>assistant<|end_header_id|>

"
